variable_pair,group,correlation_method,correlation_coefficient,p_value,significant,confidence_interval_lower,confidence_interval_upper
HGB vs MCHC,CHOR1,pearson,NA,NA,FALSE,NA,NA
HGB vs MON,CHOR1,pearson,NA,NA,FALSE,NA,NA
HGB vs LEU,CHOR1,pearson,NA,NA,FALSE,NA,NA
HCT vs MCHC,CHOR1,pearson,NA,NA,FALSE,NA,NA
HCT vs MON,CHOR1,spearman,NA,NA,FALSE,NA,NA
HCT vs LEU,CHOR1,pearson,NA,NA,FALSE,NA,NA
MCHC vs MON,CHOR1,spearman,NA,NA,FALSE,NA,NA
MCHC vs LEU,CHOR1,pearson,NA,NA,FALSE,NA,NA
MON vs LEU,CHOR1,spearman,NA,NA,FALSE,NA,NA
wiek vs hsCRP,CHOR2,spearman,NA,NA,FALSE,NA,NA
wiek vs ERY,CHOR2,pearson,NA,NA,FALSE,NA,NA
wiek vs PLT,CHOR2,spearman,NA,NA,FALSE,NA,NA
wiek vs HGB,CHOR2,pearson,NA,NA,FALSE,NA,NA
wiek vs HCT,CHOR2,spearman,NA,NA,FALSE,NA,NA
wiek vs MCHC,CHOR2,pearson,NA,NA,FALSE,NA,NA
wiek vs MON,CHOR2,spearman,NA,NA,FALSE,NA,NA
wiek vs LEU,CHOR2,pearson,NA,NA,FALSE,NA,NA
hsCRP vs ERY,CHOR2,spearman,NA,NA,FALSE,NA,NA
hsCRP vs PLT,CHOR2,spearman,NA,NA,FALSE,NA,NA
hsCRP vs HGB,CHOR2,spearman,NA,NA,FALSE,NA,NA
hsCRP vs HCT,CHOR2,spearman,NA,NA,FALSE,NA,NA
hsCRP vs MCHC,CHOR2,spearman,NA,NA,FALSE,NA,NA
hsCRP vs MON,CHOR2,spearman,NA,NA,FALSE,NA,NA
hsCRP vs LEU,CHOR2,spearman,NA,NA,FALSE,NA,NA
ERY vs PLT,CHOR2,spearman,NA,NA,FALSE,NA,NA
ERY vs HGB,CHOR2,pearson,NA,NA,FALSE,NA,NA
ERY vs HCT,CHOR2,spearman,NA,NA,FALSE,NA,NA
ERY vs MCHC,CHOR2,pearson,NA,NA,FALSE,NA,NA
ERY vs MON,CHOR2,spearman,NA,NA,FALSE,NA,NA
ERY vs LEU,CHOR2,pearson,NA,NA,FALSE,NA,NA
PLT vs HGB,CHOR2,spearman,NA,NA,FALSE,NA,NA
PLT vs HCT,CHOR2,spearman,NA,NA,FALSE,NA,NA
PLT vs MCHC,CHOR2,spearman,NA,NA,FALSE,NA,NA
PLT vs MON,CHOR2,spearman,NA,NA,FALSE,NA,NA
PLT vs LEU,CHOR2,spearman,NA,NA,FALSE,NA,NA
HGB vs HCT,CHOR2,spearman,NA,NA,FALSE,NA,NA
HGB vs MCHC,CHOR2,pearson,NA,NA,FALSE,NA,NA
HGB vs MON,CHOR2,spearman,NA,NA,FALSE,NA,NA
HGB vs LEU,CHOR2,pearson,NA,NA,FALSE,NA,NA
HCT vs MCHC,CHOR2,spearman,NA,NA,FALSE,NA,NA
HCT vs MON,CHOR2,spearman,NA,NA,FALSE,NA,NA
HCT vs LEU,CHOR2,spearman,NA,NA,FALSE,NA,NA
MCHC vs MON,CHOR2,spearman,NA,NA,FALSE,NA,NA
MCHC vs LEU,CHOR2,pearson,NA,NA,FALSE,NA,NA
MON vs LEU,CHOR2,spearman,NA,NA,FALSE,NA,NA
wiek vs hsCRP,KONTROLA,spearman,NA,NA,FALSE,NA,NA
wiek vs ERY,KONTROLA,pearson,NA,NA,FALSE,NA,NA
wiek vs PLT,KONTROLA,pearson,NA,NA,FALSE,NA,NA
wiek vs HGB,KONTROLA,pearson,NA,NA,FALSE,NA,NA
wiek vs HCT,KONTROLA,pearson,NA,NA,FALSE,NA,NA
wiek vs MCHC,KONTROLA,pearson,NA,NA,FALSE,NA,NA
wiek vs MON,KONTROLA,pearson,NA,NA,FALSE,NA,NA
wiek vs LEU,KONTROLA,pearson,NA,NA,FALSE,NA,NA
hsCRP vs ERY,KONTROLA,spearman,NA,NA,FALSE,NA,NA
hsCRP vs PLT,KONTROLA,spearman,NA,NA,FALSE,NA,NA
hsCRP vs HGB,KONTROLA,spearman,NA,NA,FALSE,NA,NA
hsCRP vs HCT,KONTROLA,spearman,NA,NA,FALSE,NA,NA
hsCRP vs MCHC,KONTROLA,spearman,NA,NA,FALSE,NA,NA
hsCRP vs MON,KONTROLA,spearman,NA,NA,FALSE,NA,NA
hsCRP vs LEU,KONTROLA,spearman,NA,NA,FALSE,NA,NA
ERY vs PLT,KONTROLA,pearson,NA,NA,FALSE,NA,NA
ERY vs HGB,KONTROLA,pearson,NA,NA,FALSE,NA,NA
ERY vs HCT,KONTROLA,pearson,NA,NA,FALSE,NA,NA
ERY vs MCHC,KONTROLA,pearson,NA,NA,FALSE,NA,NA
ERY vs MON,KONTROLA,pearson,NA,NA,FALSE,NA,NA
ERY vs LEU,KONTROLA,pearson,NA,NA,FALSE,NA,NA
PLT vs HGB,KONTROLA,pearson,NA,NA,FALSE,NA,NA
PLT vs HCT,KONTROLA,pearson,NA,NA,FALSE,NA,NA
PLT vs MCHC,KONTROLA,pearson,NA,NA,FALSE,NA,NA
PLT vs MON,KONTROLA,pearson,NA,NA,FALSE,NA,NA
PLT vs LEU,KONTROLA,pearson,NA,NA,FALSE,NA,NA
HGB vs HCT,KONTROLA,pearson,NA,NA,FALSE,NA,NA
HGB vs MCHC,KONTROLA,pearson,NA,NA,FALSE,NA,NA
HGB vs MON,KONTROLA,pearson,NA,NA,FALSE,NA,NA
HGB vs LEU,KONTROLA,pearson,NA,NA,FALSE,NA,NA
HCT vs MCHC,KONTROLA,pearson,NA,NA,FALSE,NA,NA
HCT vs MON,KONTROLA,pearson,NA,NA,FALSE,NA,NA
HCT vs LEU,KONTROLA,pearson,NA,NA,FALSE,NA,NA
MCHC vs MON,KONTROLA,pearson,NA,NA,FALSE,NA,NA
MCHC vs LEU,KONTROLA,pearson,NA,NA,FALSE,NA,NA
MON vs LEU,KONTROLA,pearson,NA,NA,FALSE,NA,NA
